               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,           0.0084228,           0.0046561,                   0,             0.99045,             0.98521,             0.99471,             0.98771,           0.0032858,           0.0015495,                   0,            0.006766,            0.006766,            0.006766
                  51,           0.0085271,           0.0047918,                   0,             0.99136,              0.9875,             0.99477,             0.98763,            0.003577,           0.0015948,                   0,              0.0067,              0.0067,              0.0067
                  52,           0.0085701,           0.0046727,                   0,             0.98928,                0.99,             0.99479,             0.98826,           0.0032733,           0.0015375,                   0,            0.006634,            0.006634,            0.006634
                  53,           0.0084885,           0.0045842,                   0,             0.98328,               0.991,             0.99478,             0.98882,           0.0033493,           0.0014312,                   0,            0.006568,            0.006568,            0.006568
                  54,           0.0083408,           0.0046666,                   0,             0.98963,              0.9875,             0.99475,             0.98903,           0.0034115,           0.0015901,                   0,            0.006502,            0.006502,            0.006502
                  55,           0.0084644,           0.0046408,                   0,             0.98922,              0.9885,             0.99479,             0.98744,            0.003779,            0.001504,                   0,            0.006436,            0.006436,            0.006436
                  56,           0.0083853,           0.0045382,                   0,             0.98896,             0.98496,             0.99466,             0.98829,           0.0032216,           0.0014488,                   0,             0.00637,             0.00637,             0.00637
                  57,           0.0082753,           0.0045976,                   0,             0.99144,             0.98441,             0.99472,             0.98879,           0.0033519,           0.0015264,                   0,            0.006304,            0.006304,            0.006304
                  58,           0.0082856,           0.0045693,                   0,               0.991,               0.988,              0.9948,             0.98839,           0.0034548,           0.0014445,                   0,            0.006238,            0.006238,            0.006238
                  59,           0.0080047,           0.0045654,                   0,             0.99115,              0.9855,             0.99468,             0.98761,           0.0032902,           0.0014466,                   0,            0.006172,            0.006172,            0.006172
                  60,           0.0078652,            0.004427,                   0,             0.98712,                0.99,             0.99467,              0.9873,           0.0031409,           0.0015022,                   0,            0.006106,            0.006106,            0.006106
                  61,           0.0079494,           0.0044635,                   0,             0.98798,             0.98659,             0.99469,             0.98928,           0.0031712,           0.0015022,                   0,             0.00604,             0.00604,             0.00604
                  62,           0.0080854,            0.004483,                   0,             0.98799,             0.98752,             0.99464,             0.98859,           0.0030278,           0.0014638,                   0,            0.005974,            0.005974,            0.005974
                  63,           0.0077918,           0.0044566,                   0,             0.98898,             0.98676,             0.99472,             0.98795,           0.0030381,           0.0014626,                   0,            0.005908,            0.005908,            0.005908
                  64,           0.0078477,           0.0044664,                   0,             0.98791,                0.99,             0.99475,             0.98844,           0.0031977,           0.0013892,                   0,            0.005842,            0.005842,            0.005842
                  65,           0.0079037,           0.0044074,                   0,              0.9911,              0.9845,             0.99469,             0.98847,           0.0032228,           0.0015796,                   0,            0.005776,            0.005776,            0.005776
                  66,           0.0077936,           0.0043847,                   0,             0.98733,              0.9845,             0.99459,             0.98823,            0.003163,           0.0015297,                   0,             0.00571,             0.00571,             0.00571
                  67,           0.0079428,           0.0043688,                   0,             0.99042,             0.98232,              0.9946,             0.98778,           0.0032298,           0.0014816,                   0,            0.005644,            0.005644,            0.005644
                  68,           0.0076384,           0.0043291,                   0,             0.98511,             0.99246,             0.99474,             0.98816,           0.0031517,           0.0014707,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.007784,           0.0044097,                   0,              0.9907,               0.987,              0.9947,             0.98742,           0.0032327,           0.0014424,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.007649,           0.0043395,                   0,             0.99043,             0.98353,              0.9947,             0.98766,           0.0031079,            0.001407,                   0,            0.005446,            0.005446,            0.005446
                  71,           0.0074906,           0.0042701,                   0,             0.98715,              0.9875,             0.99469,             0.98741,            0.003169,           0.0014034,                   0,             0.00538,             0.00538,             0.00538
                  72,           0.0076862,           0.0043058,                   0,             0.99193,             0.98362,             0.99473,             0.98749,            0.003258,           0.0015218,                   0,            0.005314,            0.005314,            0.005314
                  73,           0.0074569,           0.0042677,                   0,             0.98799,             0.98685,             0.99466,             0.98742,           0.0030222,           0.0014301,                   0,            0.005248,            0.005248,            0.005248
                  74,           0.0074613,           0.0042084,                   0,             0.98748,              0.9865,              0.9947,             0.98876,           0.0027637,           0.0013362,                   0,            0.005182,            0.005182,            0.005182
                  75,           0.0074872,           0.0042284,                   0,              0.9921,                0.98,             0.99469,             0.98888,            0.002864,           0.0013302,                   0,            0.005116,            0.005116,            0.005116
                  76,           0.0073404,           0.0042183,                   0,             0.99043,             0.98293,             0.99472,             0.98881,           0.0029938,            0.001358,                   0,             0.00505,             0.00505,             0.00505
                  77,           0.0070992,           0.0041228,                   0,             0.98941,             0.98123,             0.99472,             0.98801,           0.0028934,           0.0013719,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.007565,           0.0042681,                   0,             0.99159,              0.9855,             0.99471,              0.9883,           0.0031028,           0.0014028,                   0,            0.004918,            0.004918,            0.004918
                  79,           0.0073868,           0.0042232,                   0,             0.98984,              0.9875,             0.99472,             0.98861,           0.0029974,           0.0014043,                   0,            0.004852,            0.004852,            0.004852
